Number,Class,Title,Level,Points,URL
1000,INICIANTE,Hello World!,5,5.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1000
1001,INICIANTE,Extremamente Básico,4,4.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1001
1002,INICIANTE,Área do Círculo,4,4.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1002
1003,INICIANTE,Soma Simples,1,1.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1003
1004,INICIANTE,Produto Simples,1,1.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1004
1005,INICIANTE,Média 1,2,2.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1005
1006,INICIANTE,Média 2,1,1.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1006
1007,INICIANTE,Diferença,1,1.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1007
1008,INICIANTE,Salário,2,2.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1008
1009,INICIANTE,Salário com Bônus,2,2.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1009
1010,INICIANTE,Cálculo Simples,3,3.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1010
1011,INICIANTE,Esfera,2,2.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1011
1012,INICIANTE,Área,2,2.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1012
1013,INICIANTE,O Maior,3,3.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1013
1014,INICIANTE,Consumo,1,1.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1014
1015,INICIANTE,Distância Entre Dois Pontos,1,1.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1015
1016,INICIANTE,Distância,1,1.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1016
1017,INICIANTE,Gasto de Combustível,1,1.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1017
1018,INICIANTE,Cédulas,4,4.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1018
